workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_on,bop_phase_off,bop_dropped_page
525.x264_r,no_pref,1.0,5000000.0,1394405.0,3.5857588003485357,1.0,1422653.0,15681.0,0.010902196569086179,0.0,2043.0,1415.0,0.4091960670908039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.x264_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525.x264_r,stream,1.0,5000000.0,1397133.0,3.5787573552410543,0.9980474299869805,1422848.0,15576.0,0.010828517877899702,0.006696001530514639,2044.0,1412.0,0.4085648148148148,0.0021201413427561766,304.0,94.0,0.3092105263157895,0.005994515655889293,0.0,0.0,0.0,0.0,0.0,0.0
525.x264_r,stride,1.0,5000000.0,1380155.0,3.62278149917944,1.0103249272726613,1422632.0,15702.0,0.010916796794068694,-0.0013392003061030167,2046.0,1374.0,0.4017543859649123,0.028975265017667895,493.0,164.0,0.332657200811359,0.010458516676232384,0.0,0.0,0.0,0.0,0.0,0.0
525.x264_r,bop,1.0,5000000.0,1377756.0,3.629089621094011,1.0120841426203189,1422848.0,15495.0,0.010772812882601715,0.011861488425483069,2048.0,1393.0,0.4048241790177274,0.015547703180212036,1244.0,398.0,0.319935691318328,0.025381034372807858,1244.0,969.0,20.0,0.0,0.0,22.0
531.deepsjeng_r,no_pref,1.0,5000000.0,2287291.0,2.1859920753415283,1.0,1846445.0,11887.0,0.006396596517737412,0.0,2777.0,2818.0,0.5036639857015193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531.deepsjeng_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531.deepsjeng_r,stream,1.0,5000000.0,2287291.0,2.1859920753415283,1.0,1847449.0,11362.0,0.006112509555839728,0.044165895516110054,2777.0,2813.0,0.5032200357781753,0.0017743080198722172,610.0,276.0,0.4524590163934426,0.02321864221418356,0.0,0.0,0.0,0.0,0.0,0.0
531.deepsjeng_r,stride,1.0,5000000.0,2287291.0,2.1859920753415283,1.0,1846445.0,11887.0,0.006396596517737412,0.0,2777.0,2818.0,0.5036639857015193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531.deepsjeng_r,bop,1.0,5000000.0,2277016.0,2.1958563312686428,1.0045124847607572,1846731.0,11658.0,0.006273175314748419,0.0192647429965509,2777.0,2783.0,0.5005395683453238,0.012420156139105742,2741.0,402.0,0.1466618022619482,0.03381845713804997,2741.0,1662.0,20.0,0.0,0.0,45.0
557.xz_r,no_pref,1.0,5000000.0,3417163.0,1.463202077278725,1.0,1315532.0,33950.0,0.02515780128968004,0.0,5292.0,12664.0,0.7052795722878147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557.xz_r,nextline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557.xz_r,stream,1.0,5000000.0,3399411.0,1.4708430372202714,1.0052220811193469,1315605.0,33879.0,0.025105151302275537,0.0020913107511045803,5291.0,12641.0,0.7049408877983493,0.0018161718256475279,1252.0,649.0,0.518370607028754,0.019116347569955817,0.0,0.0,0.0,0.0,0.0,0.0
557.xz_r,stride,1.0,5000000.0,3408123.0,1.4670832009290744,1.0026524864272797,1315680.0,33803.0,0.02504885204185603,0.004329896907216524,5292.0,12664.0,0.7052795722878147,0.0,449.0,431.0,0.9599109131403119,0.012695139911634757,0.0,0.0,0.0,0.0,0.0,0.0
557.xz_r,bop,1.0,5000000.0,3289374.0,1.5200460634759076,1.0388490332811047,1315690.0,33793.0,0.025041441796599142,0.00462444771723125,5291.0,12633.0,0.7048091943762553,0.002447883765003156,12053.0,2117.0,0.17564091927321,0.062356406480117824,12053.0,10920.0,165.0,2.0,0.0,263.0

