workload,config,completed,instructions,cycles,ipc,speedup_vs_no_pref,speedup_vs_bop_default,dcache_hit,dcache_miss,dcache_miss_rate,dcache_miss_reduction_vs_no_pref,mlc_hit,mlc_miss,mlc_miss_rate,mlc_miss_reduction_vs_no_pref,pref_issued,pref_useful,pref_accuracy,pref_coverage_vs_no_pref,bop_pref_issued,bop_rr_fill_updates,bop_rr_hit_score_inc,bop_phase_complete,bop_phase_on,bop_phase_off,bop_phase_on_ratio,bop_dropped_page,bop_dropped_page_ratio,bop_test_offset_events,bop_rr_hit_score_rate,bop_inflight_insert,bop_inflight_miss
507.cactuBSSN_r,off_all_32,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,21820.0,4977224.0,0.9956351654436328,0.004260461096484591,2.0,76534.0,0.9999738685063239,0.021754690935119392,3147.0,4.0,0.001271051795360661,8.002368701135537e-07,3147.0,35.0,0.0,24.0,0.0,24.0,0.0,52.0,0.01625507971241013,78713.0,0.0,3147.0,0.0
507.cactuBSSN_r,off_all_64,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,37773.0,4961271.0,0.9924439552842503,0.007452005793714966,2.0,75111.0,0.9999733734506676,0.03994324863234322,6296.0,4.0,0.0006353240152477764,8.002368701135537e-07,6296.0,35.0,0.0,12.0,0.0,12.0,0.0,103.0,0.016096265041412722,79209.0,0.0,6296.0,0.0
507.cactuBSSN_r,off_prime_128,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,25332.0,4973712.0,0.9949326311190699,0.004963069068444237,2.0,76262.0,0.999973775306829,0.025231351296078564,3739.0,4.0,0.0010698047606311847,8.002368701135537e-07,3739.0,35.0,0.0,20.0,0.0,20.0,0.0,60.0,0.01579362990260595,78806.0,0.0,3739.0,0.0
507.cactuBSSN_r,off_prime_512,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,41413.0,4957631.0,0.9917158160640315,0.008180221345518324,2.0,74858.0,0.9999732834624633,0.043177054041617646,6688.0,4.0,0.0005980861244019139,8.002368701135537e-07,6688.0,35.0,2.0,11.0,0.0,11.0,0.0,111.0,0.016325930283865274,79283.0,2.522608882105874e-05,6688.0,0.0
507.cactuBSSN_r,off_prime_64,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,18590.0,4980454.0,0.9962812889824535,0.0036142698238678106,2.0,76784.0,0.999973953585289,0.018559231044531943,2653.0,4.0,0.0015077271013946476,8.002368701135537e-07,2653.0,35.0,1.0,29.0,0.0,29.0,0.0,46.0,0.017043349388662466,78620.0,1.2719409819384381e-05,2653.0,0.0
507.cactuBSSN_r,round_200,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,58881.0,4940163.0,0.98822154795997,0.011674855757304203,2.0,73314.0,0.9999727208249223,0.06291221432588578,10237.0,4.0,0.00039073947445540685,8.002368701135537e-07,10237.0,35.0,0.0,7.0,0.0,7.0,0.0,162.0,0.015578421002019425,79865.0,0.0,10237.0,0.0
507.cactuBSSN_r,round_50,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,18320.0,4980724.0,0.9963352993092279,0.003560253835135252,2.0,76826.0,0.9999739678242308,0.01802239378291326,2555.0,4.0,0.0015655577299412916,8.002368701135537e-07,2555.0,35.0,0.0,30.0,0.0,30.0,0.0,44.0,0.016929588303193535,78609.0,0.0,2555.0,0.0
507.cactuBSSN_r,rr_1024,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
507.cactuBSSN_r,rr_128,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
507.cactuBSSN_r,rr_512,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
507.cactuBSSN_r,rr_64,1.0,5000000.0,5014180.0,0.9971720201508522,1.0000239321284836,1.0,30227.0,4968817.0,0.9939534438984734,0.005942358938245684,2.0,75738.0,0.9999735938737787,0.031929035226749836,5120.0,4.0,0.00078125,8.002368701135537e-07,5120.0,35.0,0.0,15.0,0.0,15.0,0.0,79.0,0.015195229851894596,79034.0,0.0,5120.0,0.0
